INSTNM,Carleton College,Institution name
CITY,Northfield,City
STABBR,MN,State postcode
ZIP,55057-4001,ZIP code
INSTURL,www.carleton.edu,URL for institution's homepage
NPCURL,https://apps.carleton.edu/admissions/afford/estimator/,URL for institution's net price calculator
OPEID,234000,8-digit OPE ID for institution
OPEID6,2340,6-digit OPE ID for institution
REGION,4,Region (IPEDS)
LOCALE,32,Locale of institution
LATITUDE,44.462318,Latitude
LONGITUDE,-93.154666,Longitude
ADM_RATE,0.2262,Admission rate
SATVR25,660,25th percentile of SAT scores at the institution (critical reading)
SATVR75,770,75th percentile of SAT scores at the institution (critical reading)
SATMT25,660,25th percentile of SAT scores at the institution (math)
SATMT75,770,75th percentile of SAT scores at the institution (math)
SATWR25,660,25th percentile of SAT scores at the institution (writing)
SATWR75,750,75th percentile of SAT scores at the institution (writing)
SATVRMID,715,Midpoint of SAT scores at the institution (critical reading)
SATMTMID,715,Midpoint of SAT scores at the institution (math)
SATWRMID,705,Midpoint of SAT scores at the institution (writing)
ACTCM25,30,25th percentile of the ACT cumulative score
ACTCM75,33,75th percentile of the ACT cumulative score
ACTEN25,,25th percentile of the ACT English score
ACTEN75,,75th percentile of the ACT English score
ACTMT25,,25th percentile of the ACT math score
ACTMT75,,75th percentile of the ACT math score
ACTWR25,,25th percentile of the ACT writing score
ACTWR75,,75th percentile of the ACT writing score
ACTCMMID,32,Midpoint of the ACT cumulative score
ACTENMID,,Midpoint of the ACT English score
ACTMTMID,,Midpoint of the ACT math score
ACTWRMID,,Midpoint of the ACT writing score
SAT_AVG,1413,Average SAT equivalent score of students admitted
SAT_AVG_ALL,1413,Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID
PCIP01,0,"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences."
PCIP03,0.0201,Percentage of degrees awarded in Natural Resources And Conservation.
PCIP04,0,Percentage of degrees awarded in Architecture And Related Services.
PCIP05,0.0241,"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies."
PCIP09,0,"Percentage of degrees awarded in Communication, Journalism, And Related Programs."
PCIP10,0,Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.
PCIP11,0.1006,Percentage of degrees awarded in Computer And Information Sciences And Support Services.
PCIP12,0,Percentage of degrees awarded in Personal And Culinary Services.
PCIP13,0,Percentage of degrees awarded in Education.
PCIP14,0,Percentage of degrees awarded in Engineering.
PCIP15,0,Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.
PCIP16,0.0302,"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics."
PCIP19,0,Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.
PCIP22,0,Percentage of degrees awarded in Legal Professions And Studies.
PCIP23,0.0644,Percentage of degrees awarded in English Language And Literature/Letters.
PCIP24,0,"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities."
PCIP25,0,Percentage of degrees awarded in Library Science.
PCIP26,0.1127,Percentage of degrees awarded in Biological And Biomedical Sciences.
PCIP27,0.0644,Percentage of degrees awarded in Mathematics And Statistics.
PCIP29,0,Percentage of degrees awarded in Military Technologies And Applied Sciences.
PCIP30,0.006,Percentage of degrees awarded in Multi/Interdisciplinary Studies.
PCIP31,0,"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies."
PCIP38,0.0282,Percentage of degrees awarded in Philosophy And Religious Studies.
PCIP39,0,Percentage of degrees awarded in Theology And Religious Vocations.
PCIP40,0.1268,Percentage of degrees awarded in Physical Sciences.
PCIP41,0,Percentage of degrees awarded in Science Technologies/Technicians.
PCIP42,0.0604,Percentage of degrees awarded in Psychology.
PCIP43,0,"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
PCIP44,0,Percentage of degrees awarded in Public Administration And Social Service Professions.
PCIP45,0.1992,Percentage of degrees awarded in Social Sciences.
PCIP46,0,Percentage of degrees awarded in Construction Trades.
PCIP47,0,Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.
PCIP48,0,Percentage of degrees awarded in Precision Production.
PCIP49,0,Percentage of degrees awarded in Transportation And Materials Moving.
PCIP50,0.0986,Percentage of degrees awarded in Visual And Performing Arts.
PCIP51,0,Percentage of degrees awarded in Health Professions And Related Programs.
PCIP52,0,"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services."
PCIP54,0.0644,Percentage of degrees awarded in History.
UGDS,2045,Enrollment of undergraduate certificate/degree-seeking students
UG,1936,Enrollment of all undergraduate students
UGDS_WHITE,0.6161,Total share of enrollment of undergraduate degree-seeking students who are white
UGDS_BLACK,0.045,Total share of enrollment of undergraduate degree-seeking students who are black
UGDS_HISP,0.0748,Total share of enrollment of undergraduate degree-seeking students who are Hispanic
UGDS_ASIAN,0.0856,Total share of enrollment of undergraduate degree-seeking students who are Asian
UGDS_AIAN,0.0015,Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native
UGDS_NHPI,0.001,Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander
UGDS_2MOR,0.0567,Total share of enrollment of undergraduate degree-seeking students who are two or more races
UGDS_NRA,0.1017,Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens
UGDS_UNKN,0.0176,Total share of enrollment of undergraduate degree-seeking students whose race is unknown
UGDS_WHITENH,0.6913,Total share of enrollment of undergraduate degree-seeking students who are white non-Hispanic
UGDS_BLACKNH,0.0463,Total share of enrollment of undergraduate degree-seeking students who are black non-Hispanic
UGDS_API,0.0967,Total share of enrollment of undergraduate degree-seeking students who are Asian/Pacific Islander
UGDS_AIANOLD,0.0065,Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native
UGDS_HISPOLD,0.0554,Total share of enrollment of undergraduate degree-seeking students who are Hispanic
UG_NRA,0.0181,Total share of enrollment of undergraduate students who are non-resident aliens
UG_UNKN,0,Total share of enrollment of undergraduate students whose race is unknown
UG_WHITENH,0.8316,Total share of enrollment of undergraduate students who are white non-Hispanic
UG_BLACKNH,0.0294,Total share of enrollment of undergraduate students who are black non-Hispanic
UG_API,0.0821,Total share of enrollment of undergraduate students who are Asian/Pacific Islander
UG_AIANOLD,0.0026,Total share of enrollment of undergraduate students who are American Indian/Alaska Native
UG_HISPOLD,0.0362,Total share of enrollment of undergraduate students who are Hispanic
NPT4_PRIV,26745,Average net price for Title IV institutions (private for-profit and nonprofit institutions)
NPT41_PUB,,"Average net price for $0-$30,000 family income (public institutions)"
NPT42_PUB,,"Average net price for $30,001-$48,000 family income (public institutions)"
NPT43_PUB,,"Average net price for $48,001-$75,000 family income (public institutions)"
NPT44_PUB,,"Average net price for $75,001-$110,000 family income (public institutions)"
NPT45_PUB,,"Average net price for $110,000+ family income (public institutions)"
NPT41_PRIV,12207,"Average net price for $0-$30,000 family income (private for-profit and nonprofit institutions)"
NPT42_PRIV,13473,"Average net price for $30,001-$48,000 family income (private for-profit and nonprofit institutions)"
NPT43_PRIV,14682,"Average net price for $48,001-$75,000 family income (private for-profit and nonprofit institutions)"
NPT44_PRIV,22396,"Average net price for $75,001-$110,000 family income (private for-profit and nonprofit institutions)"
NPT45_PRIV,38398,"Average net price for $110,000+ family income (private for-profit and nonprofit institutions)"
NUM4_PRIV,228,Number of Title IV students (private for-profit and nonprofit institutions)
COSTT4_A,64420,Average cost of attendance (academic year institutions)
TUITIONFEE_IN,50874,In-state tuition and fees
TUITIONFEE_OUT,50874,Out-of-state tuition and fees
FEMALE_ENRL_ORIG_YR2_RT,0.803571429,Percent of female students who were still enrolled at original institution within 2 years
MALE_ENRL_ORIG_YR2_RT,0.819047619,Percent of male students who were still enrolled at original institution within 2 years
GRAD_DEBT_MDN,19500,The median debt for students who have completed
FIRSTGEN_DEBT_MDN,18409,The median debt for first-generation students
NOTFIRSTGEN_DEBT_MDN,18798,The median debt for not-first-generation students
FIRST_GEN,0.162393162,Share of first-generation students
COUNT_WNE_INDEP0_INC1_P10,21,"Number of dependent students working and not enrolled 10 years after entry in the lowest income tercile $0-$30,000 "